raw_name,canonical_name,entity_type,confidence,resolution_method,timestamp
Rippertnt,Rippertnt,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.450034+00:00
Pysentimiento,Pysentimiento,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.450260+00:00
Yehor,Yehor,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.450487+00:00
Lykon,Lykon,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.450709+00:00
Amunchet,Amunchet,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.450941+00:00
Serveurperso,Serveurperso,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.451169+00:00
Distil Whisper,Distil Whisper,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.451404+00:00
Abiray,Abiray,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.451631+00:00
Moritzlaurer,Moritzlaurer,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.451857+00:00
Zhihan1996,Zhihan1996,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.452083+00:00
0Bserverx,0Bserverx,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.452309+00:00
Paddlepaddle,Paddlepaddle,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.452536+00:00
Saattrupdan,Saattrupdan,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.452763+00:00
Casperhansen,Casperhansen,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.452989+00:00
Bytedance Seed,Bytedance Seed,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.453225+00:00
Adamcodd,Adamcodd,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.453461+00:00
Albert,Albert,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.453700+00:00
Circlestone Labs,Circlestone,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.453926+00:00
Neuml,Neuml,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.454148+00:00
Samlowe,Samlowe,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.454375+00:00
Eddiegulay,Eddiegulay,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.454602+00:00
Snunlp,Snunlp,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.454829+00:00
Yiyanghkust,Yiyanghkust,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.455063+00:00
Ahotrod,Ahotrod,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.455284+00:00
Swivid,Swivid,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.455505+00:00
Lxyuan,Lxyuan,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.455733+00:00
Opengvlab,Opengvlab,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.455963+00:00
Palmfuture,Palmfuture,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.456193+00:00
Tongyi Mai,Tongyi Mai,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.456425+00:00
Wangzhang,Wangzhang,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.456653+00:00
Ggml Org,Ggml Org,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.456891+00:00
Softcatala,Softcatala,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.457119+00:00
Shawnw3I,Shawnw3I,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.457342+00:00
Snowflake,Snowflake,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.457573+00:00
Leo97,Leo97,STARTUP,0.85,RULE_BASED_CLEAN,2026-08-27T15:08:45.457797+00:00
